Date,Description,Amount,Currency
15-07-2019,ATLASSIAN,623.8,USD
15-07-2019,BUENO TECHNOLOGIES INC,8,USD
15-07-2019,INTUIT QUICKBOOKS,21.32,USD
10-07-2019,FRESHWORKS INC,116,USD
10-07-2019,RUSTICI SOFTWARE,538.92,USD
07-07-2019,FIGMA INC.,60,USD
05-07-2019,CENTER CENTRE INC,29,USD
04-07-2019,STOPLIGHT.IO         AUSTIN             TX,74.31,USD
03-07-2019,LINKEDIN SG - ONLINE - USD,10.7,USD
03-07-2019,New Relic,2411,USD
03-07-2019,STRIPE,70,USD
01-07-2019,WIRECARD BANK AG,99,USD
01-07-2019,STRIPE,511.33,USD
01-07-2019,PayPal,29,USD
01-07-2019,PUSHY,4.28,USD
01-07-2019,WIRECARD,855.93,USD
30-06-2019,PayPal,419.87,USD
30-06-2019,INSTABUG,249,USD
30-06-2019,ZEPLIN INC.,100,USD
29-06-2019,STOPLIGHT,88,USD
28-06-2019,PayPal,29.95,USD
25-06-2019,BROWSERSTACK INC,129,USD
23-06-2019,STRIPE,8686.83,USD
22-06-2019,LINKEDIN SG - ONLINE - USD,38.97,USD
22-06-2019,Pluralsight,29,USD
22-06-2019,RECRUITERBOX INC.,3000,USD
21-06-2019,LARACASTS,9,USD
20-06-2019,PRIVATE INTERNET ACCESS INC.,39.95,USD
19-06-2019,SENTRY,30,USD
17-06-2019,STOPLIGHT INC,116,USD
16-06-2019,FRESHWORKS INC,75,USD
16-06-2019,LINKEDIN SG - ONLINE - USD,123.8,USD
15-06-2019,ATLASSIAN,856.3,USD
15-06-2019,BUENO TECHNOLOGIES INC,8,USD
15-06-2019,INTUIT QUICKBOOKS,21.32,USD
15-06-2019,PayPal,366.28,USD
14-06-2019,PayPal,229.99,USD
13-06-2019,LINKEDIN SG - ONLINE - USD,44.73,USD
10-06-2019,FRESHWORKS INC,116,USD
10-06-2019,RUSTICI SOFTWARE,360.72,USD
07-06-2019,FIGMA INC.,60,USD
05-06-2019,CENTER CENTRE INC,29,USD
04-06-2019,WIRECARD BANK AG,99,USD
04-06-2019,New Relic,1221.49,USD
03-06-2019,STRIPE,70,USD
02-06-2019,ZEPLIN INC.,100,USD
02-06-2019,WIRECARD,964.22,USD
01-06-2019,STRIPE,441.32,USD
01-06-2019,PayPal,29,USD
01-06-2019,PUSHY,4.85,USD
31-05-2019,INSTABUG,249,USD
30-05-2019,PayPal,417.87,USD
29-05-2019,STOPLIGHT,88,USD
28-05-2019,New Relic,1475,USD
28-05-2019,PayPal,29.95,USD
25-05-2019,BROWSERSTACK INC,129,USD
25-05-2019,IAF,100,USD
24-05-2019,POSTMARK,75,USD
22-05-2019,Pluralsight,29,USD
21-05-2019,LARACASTS,9,USD
19-05-2019,SENTRY,29,USD
17-05-2019,FS *AHREFS.COM       877-327-8914       CA,7,USD
17-05-2019,STOPLIGHT INC,116,USD
16-05-2019,FRESHWORKS INC,75,USD
16-05-2019,INTUIT QUICKBOOKS,21.32,USD
15-05-2019,ATLASSIAN,856.3,USD
15-05-2019,BUENO TECHNOLOGIES INC,38,USD
10-05-2019,Amazon Marketplace,1509.99,USD
10-05-2019,FRESHWORKS INC,116,USD
10-05-2019,RUSTICI SOFTWARE,310.56,USD
09-05-2019,BUENO TECHNOLOGIES INC,30,USD
07-05-2019,FIGMA INC.,15,USD
07-05-2019,STRIPE,672,USD
06-05-2019,WIRECARD BANK AG,71.51,USD
05-05-2019,CENTER CENTRE INC,29,USD
03-05-2019,STRIPE,70,USD
03-05-2019,ZEPLIN INC.,100,USD
02-05-2019,WIRECARD,878.4,USD
01-05-2019,STRIPE,427.12,USD
01-05-2019,PayPal,29,USD
01-05-2019,PUSHY,5.71,USD
30-04-2019,INSTABUG,249,USD
30-04-2019,PayPal,463.87,USD
29-04-2019,STOPLIGHT,88,USD
28-04-2019,New Relic,1475,USD
28-04-2019,PayPal,29.95,USD
25-04-2019,BROWSERSTACK INC,129,USD
22-04-2019,Pluralsight,29,USD
21-04-2019,LARACASTS,9,USD
19-04-2019,SENTRY,29,USD
16-04-2019,FRESHWORKS INC,75,USD
15-04-2019,ATLASSIAN,647,USD
15-04-2019,BUENO TECHNOLOGIES INC,38,USD
11-04-2019,PAYPAL,58,USD
10-04-2019,FRESHWORKS INC,116,USD
10-04-2019,RUSTICI SOFTWARE,368.97,USD
07-04-2019,PayPal,66.46,USD
07-04-2019,WIRECARD,699.58,USD
05-04-2019,CENTER CENTRE INC,29,USD
03-04-2019,STRIPE,70,USD
01-04-2019,STRIPE,441.55,USD
01-04-2019,PayPal,29,USD
01-04-2019,PUSHY,7.33,USD
31-03-2019,INSTABUG,249,USD
30-03-2019,PayPal,573.87,USD
30-03-2019,ZEPLIN INC.,100,USD
29-03-2019,STOPLIGHT,88,USD
28-03-2019,New Relic,1475,USD
28-03-2019,PayPal,29.95,USD
25-03-2019,BROWSERSTACK INC,129,USD
22-03-2019,Pluralsight,29,USD
21-03-2019,AMAZON.COM*MW45Q8ZK2 AMZN.COM/BILL      WA,1163.9,USD
21-03-2019,LARACASTS,9,USD
19-03-2019,SENTRY,29,USD
19-03-2019,Shutterstock.com 866-663-3954,39,USD
16-03-2019,FRESHWORKS INC,75,USD
15-03-2019,ATLASSIAN,619,USD
15-03-2019,BUENO TECHNOLOGIES INC,38,USD
11-03-2019,PAYPAL,58,USD
10-03-2019,FRESHWORKS INC,116,USD
10-03-2019,RUSTICI SOFTWARE,366.33,USD
07-03-2019,WIRECARD,631.88,USD
05-03-2019,CENTER CENTRE INC,29,USD
03-03-2019,STRIPE,70,USD
02-03-2019,POSTMARK,75,USD
01-03-2019,HUBSPOT ASIA PTE LTD,13482,USD
01-03-2019,STRIPE,398.42,USD
01-03-2019,PayPal,29,USD
01-03-2019,PayPal,501.87,USD
28-02-2019,INSTABUG,249,USD
28-02-2019,New Relic,1475,USD
28-02-2019,PayPal,29.95,USD
28-02-2019,PUSHY,6.95,USD
28-02-2019,STOPLIGHT,88,USD
28-02-2019,ZEPLIN INC.,100,USD
25-02-2019,BROWSERSTACK INC,129,USD
22-02-2019,PAYPAL *UNITYTECHNO,147.5,USD
22-02-2019,Pluralsight,29,USD
21-02-2019,LARACASTS,9,USD
19-02-2019,SENTRY,129,USD
16-02-2019,FRESHWORKS INC,75,USD
15-02-2019,ATLASSIAN,619,USD
15-02-2019,BUENO TECHNOLOGIES INC,38,USD
11-02-2019,PAYPAL,58,USD
10-02-2019,FRESHWORKS INC,116,USD
10-02-2019,RUSTICI SOFTWARE,372.27,USD
06-02-2019,PAYPAL,198,USD
05-02-2019,CENTER CENTRE INC,29,USD
03-02-2019,STRIPE,70,USD
02-02-2019,PayPal,29,USD
01-02-2019,STRIPE,441.18,USD
01-02-2019,PUSHY,7.92,USD
01-02-2019,WIRECARD,460.72,USD
31-01-2019,INSTABUG,249,USD
30-01-2019,PayPal,470.87,USD
30-01-2019,ZEPLIN INC.,100,USD
29-01-2019,STOPLIGHT,88,USD
28-01-2019,New Relic,1475,USD
28-01-2019,PayPal,29.95,USD
25-01-2019,BROWSERSTACK INC,129,USD
22-01-2019,EGGHEAD IO LLC,49.99,USD
22-01-2019,PAYPAL *UNITYTECHNO,147.5,USD
22-01-2019,Pluralsight,29,USD
21-01-2019,LARACASTS,9,USD
20-01-2019,SENTRY,129,USD
18-01-2019,POSTMARK,75,USD
16-01-2019,FRESHWORKS INC,75,USD
16-01-2019,STRIPE,51.05,USD
15-01-2019,ATLASSIAN,598,USD
15-01-2019,BUENO TECHNOLOGIES INC,38,USD
12-01-2019,PayPal,58,USD
10-01-2019,FRESHWORKS INC,116,USD
10-01-2019,RUSTICI SOFTWARE,329.04,USD
05-01-2019,CENTER CENTRE INC,29,USD
03-01-2019,STRIPE,70,USD
01-01-2019,STRIPE,441.32,USD
01-01-2019,PUSHY,8.01,USD
01-01-2019,WIRECARD,338,USD
05-01-2020,PUSHY*PUSHY PRO Sheridan,25.55,SGD
05-02-2020,CALENDLY ATLANTA,14.52,SGD
05-03-2020,Quickbooks Online London,42.8,SGD
29-03-2020,PAYPAL *MONGODBLTD 0876412056,1482.32,SGD
01-04-2020,FASTSPRING BV*FS *SNOVI AMSTERDAM,204,SGD
01-04-2020,PAYPAL *MONGODBLTD 0876412056,158.38,SGD
01-04-2020,PUSHY*PUSHY PRO Sheridan,24.64,SGD
02-04-2020,CALENDLY ATLANTA,14.71,SGD
03-04-2020,Quickbooks Online London,42.8,SGD
04-04-2020,MIXPANEL INC. SAN FRANCISCO,221.6,SGD
05-04-2020,BITEABLE PTY LTD HOBART,42.84,SGD
09-04-2020,FRESHWORKS INC SAN BRUNO,169.49,SGD
10-04-2020,RUSTICI SOFTWARE-SCORM FRANKLIN,818.78,SGD
11-04-2020,FRESHWORKS INC SAN BRUNO,65.25,SGD
14-04-2020,101DOMAIN 760-444-8674,473.4,SGD
17-04-2020,BRANDON HALL GROUP INC SAN JOSE,840.57,SGD
23-04-2020,Quickbooks Online London,34.92,SGD
29-06-2020,ZOOM Zoom SAN JOSE  117.68 USD  30 Jun STORE NAME: PO #: P-30097154 ,117.68,USD
30-06-2020,PLURALSIGHT FARMINGTON  31.03 USD  01 Jul ,31.03,USD
30-06-2020,ZEPLIN INC. SAN FRANCISCO  29.00 USD  30 Jun ,29,USD
01-07-2020,PUSHY*PUSHY PRO Sheridan  17.59 USD  01 Jul ,17.59,USD
02-07-2020,MONGODBCLOUD KNOLSKAPE DUBLIN  72.03 USD  02 Jul ,72.03,USD
04-07-2020,MIXPANEL INC. SAN FRANCISCO  150.00 USD  04 Jul ,150,USD
05-07-2020,101DOMAIN 760-444-8674  56.99 USD  05 Jul ,56.99,USD
07-07-2020,ELASTIC CLOUD ASKER  832.41 USD  07 Jul ,832.41,USD
07-07-2020,FIGMA MONTHLY RENEWAL SAN FRANCISCO  75.00 USD  07 Jul ,75,USD
09-07-2020,FRESHWORKS INC SAN BRUNO  116.00 USD  10 Jul ,116,USD
10-07-2020,RUSTICI SOFTWARE-SCORM FRANKLIN  1060.65 USD  10 Jul ITEM PURCHASED: BUSINESS SERVICES QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ,1060.65,USD
11-07-2020,FRESHWORKS INC SAN BRUNO  45.00 USD  11 Jul ,45,USD
12-07-2020,BROWSERSTACK.COM LEWES  39.00 USD  12 Jul ,39,USD
13-07-2020,APPLE.COM/US CUPERTINO  299.00 USD  14 Jul STORE NAME: PO #: 7204001077 ,299,USD
13-07-2020,LINKEDIN SINGAPORE  14 Jul ,75000,INR
15-07-2020,Atlassian San Francisco  484.30 USD  15 Jul STORE NAME: Online Software Provider PO #: ITEM PURCHASED: AT-106484287 QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ,484.3,USD
15-07-2020,CALLHIPPO.COM - TELEPH NEWARK  8.00 USD  15 Jul ,8,USD
16-07-2020,INT*QUICKBOOKS ONLINE 800-446-8848  42.64 USD  16 Jul STORE NAME: PO #: IGS_110621362111 ,42.64,USD
19-07-2020,SENTRY SAN FRANCISCO  80.00 USD  20 Jul ,80,USD
19-07-2020,TYPEFORM S.L BARCELONA  70.00 USD  20 Jul ,70,USD
20-07-2020,STOPLIGHT.IO AUSTIN  87.00 USD  20 Jul ,87,USD
02-06-2020,ZEPLIN INC. SAN FRANCISCO  29.00 USD  03 Jun ,29,USD
03-06-2020,84codes*cloudamqp.com Stockholm  99.00 USD  03 Jun ,99,USD
03-06-2020,GRAMMARLY CO*ERPVHYP SAN FANCISCO  29.95 USD  03 Jun ,29.95,USD
03-06-2020,PLURALSIGHT FARMINGTON  30.02 USD  04 Jun ,30.02,USD
03-06-2020,PUSHY*PUSHY PRO Sheridan  18.61 USD  03 Jun ,18.61,USD
03-06-2020,charge.elastic.co Elasticsearch  838.02 USD  03 Jun ,838.02,USD
04-06-2020,LINKEDIN SG - ONLINE - SINGAPORE  05 Jun LINKEDIN-5624790414 lnkd.in/bill ,10129.32,INR
04-06-2020,Quickbooks Online London  103.88 MYR  05 Jun ,103.88,MYR
10-06-2020,FIGMA MONTHLY RENEWAL SAN FRANCISCO  75.00 USD  11 Jun ,75,USD
10-06-2020,FRESHWORKS INC SAN BRUNO  116.00 USD  11 Jun ,116,USD
10-06-2020,MIXPANEL INC. SAN FRANCISCO  150.00 USD  11 Jun ,150,USD
10-06-2020,RUSTICI SOFTWARE-SCORM FRANKLIN  2261.52 USD  10 Jun ITEM PURCHASED: BUSINESS SERVICES QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ,2261.52,USD
11-06-2020,BROWSERSTACK.COM LEWES  39.00 USD  12 Jun ,39,USD
11-06-2020,FRESHWORKS INC SAN BRUNO  45.00 USD  11 Jun ,45,USD
15-06-2020,Atlassian San Francisco  502.90 USD  15 Jun ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 STORE NAME: Online Software Provider PO #: ITEM PURCHASED: AT-103845153 QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ,502.9,USD
15-06-2020,MONGODBCLOUD KNOLSKAPE DUBLIN  1004.41 USD  15 Jun ,1004.41,USD
15-06-2020,MONGODBCLOUD KNOLSKAPE DUBLIN  107.70 USD  15 Jun ,107.7,USD
16-06-2020,POLL EVERYWHERE INC SAN FRANCISCO  120.00 USD  16 Jun OTHER SERVICES ,120,USD
17-06-2020,ZOOM Zoom SAN JOSE  109.89 USD  18 Jun STORE NAME: PO #: P-27784152 ,109.89,USD
18-06-2020,CALLHIPPO.COM - TELEPH NEWARK  8.00 USD  18 Jun ,8,USD
18-06-2020,STOPLIGHT.IO AUSTIN  87.00 USD  18 Jun ,87,USD
18-06-2020,TYPEFORM S.L BARCELONA  70.00 USD  18 Jun ,70,USD
19-06-2020,SENTRY SAN FRANCISCO  80.00 USD  20 Jun ,80,USD
21-06-2020,PRIVATEINTERNETACCESS GREENWOOD VILLA  39.95 USD  22 Jun ,39.95,USD
23-06-2020,Quickbooks Online London  31.16 MYR  24 Jun ,31.16,MYR
23-06-2020,SLACK T029DU286 DUBLIN  1377.17 USD  23 Jun ,1377.17,USD
24-06-2020,POSTMARK EMAIL CREDITS PHILADELPHIA  75.00 USD  25 Jun ,75,USD
27-06-2020,GRAMMARLY CO*ZDCZJTB SAN FANCISCO  29.95 USD  27 Jun ,29.95,USD
29-06-2020,MONGODBCLOUD KNOLSKAPE DUBLIN  1003.99 USD  29 Jun ,1003.99,USD
